"1096-1453","CIÊNCIAS BIOLÓGICAS II                            ","Academic Exchange Quarterly","C ",2008
"0191-2917","CIÊNCIAS BIOLÓGICAS II                            ","Plant Disease","B2",2008
"0167-4412","CIÊNCIAS BIOLÓGICAS II                            ","Plant Molecular Biology","A2",2008
"0032-0862","CIÊNCIAS BIOLÓGICAS II                            ","Plant Pathology (Print)","B2",2008
"0032-0889","CIÊNCIAS BIOLÓGICAS II                            ","Plant Physiology (Bethesda)","A1",2008
"0981-9428","CIÊNCIAS BIOLÓGICAS II                            ","Plant Physiology and Biochemistry (Paris)","B2",2008
"0168-9452","CIÊNCIAS BIOLÓGICAS II                            ","Plant Science (Limerick)","B2",2008
"1559-2316","CIÊNCIAS BIOLÓGICAS II                            ","Plant Signaling & Behavior","C ",2008
"1749-0359","CIÊNCIAS BIOLÓGICAS II                            ","Plant Stress","C ",2008
"0140-7791","CIÊNCIAS BIOLÓGICAS II                            ","Plant, Cell and Environment (Print)","A2",2008
"0032-0935","CIÊNCIAS BIOLÓGICAS II                            ","Planta (Heidelberg","B1",2008
"0032-0943","CIÊNCIAS BIOLÓGICAS II                            ","Planta Medica","B2",2008
"0032-1052","CIÊNCIAS BIOLÓGICAS II                            ","Plastic and Reconstructive Surgery (1963)","B2",2008
"0953-7104","CIÊNCIAS BIOLÓGICAS II                            ","Platelets (Edinburgh. Print)","B2",2008
"1544-9173","CIÊNCIAS BIOLÓGICAS II                            ","PLoS Biology (Cessou em 2006. Cont. ISSN 1545-7885 PLoS Biology (Online))","A1",2008
"1553-734X","CIÊNCIAS BIOLÓGICAS II                            ","PLoS Computational Biology","A1",2008
"1553-7390","CIÊNCIAS BIOLÓGICAS II                            ","PLOS Genetics","A1",2008
"1935-2735","CIÊNCIAS BIOLÓGICAS II                            ","Plos Neglected Tropical Diseases","A2",2008
"1553-7366","CIÊNCIAS BIOLÓGICAS II                            ","PLoS Pathogens","A1",2008
"0722-4060","CIÊNCIAS BIOLÓGICAS II                            ","Polar Biology (Print)","B2",2008
"0277-5387","CIÊNCIAS BIOLÓGICAS II                            ","Polyhedron","B2",2008
"0032-3861","CIÊNCIAS BIOLÓGICAS II                            ","Polymer (Guildford)","B1",2008
"0959-8103","CIÊNCIAS BIOLÓGICAS II                            ","Polymer International","B2",2008
"0032-3896","CIÊNCIAS BIOLÓGICAS II                            ","Polymer Journal","B2",2008
"0925-5214","CIÊNCIAS BIOLÓGICAS II                            ","Postharvest Biology and Technology (Print)","B2",2008
"0885-7156","CIÊNCIAS BIOLÓGICAS II                            ","Powder Diffraction","B4",2008
"0197-3851","CIÊNCIAS BIOLÓGICAS II                            ","Prenatal Diagnosis (Print)","B3",2008
"1082-6068","CIÊNCIAS BIOLÓGICAS II                            ","Preparative Biochemistry & Biotechnology","B4",2008
,"CIÊNCIAS BIOLÓGICAS II                            ","Prion","C ",2008
"0962-8452","CIÊNCIAS BIOLÓGICAS II                            ","Proceedings - Royal Society. Biological Sciences (Print)","A2",2008
"1018-4732","CIÊNCIAS BIOLÓGICAS II                            ","Proceedings - SPIE","C ",2008
"0027-8424","CIÊNCIAS BIOLÓGICAS II                            ","Proceedings of the National Academy of Sciences of the United States of America","A1",2008
"0029-6651","CIÊNCIAS BIOLÓGICAS II                            ","Proceedings of the Nutrition Society","A2",2008
"1359-5113","CIÊNCIAS BIOLÓGICAS II                            ","Process Biochemistry (1991)","B1",2008
"0079-6107","CIÊNCIAS BIOLÓGICAS II                            ","Progress in Biophysics and Molecular Biology","A1",2008
"0079-6123","CIÊNCIAS BIOLÓGICAS II                            ","Progress in Brain Research","B2",2008
"0278-5846","CIÊNCIAS BIOLÓGICAS II                            ","Progress in Neuro-Psychopharmacology & Biological Psychiatry","B1",2008
"0301-0082","CIÊNCIAS BIOLÓGICAS II                            ","Progress in Neurobiology","A1",2008
"1350-9462","CIÊNCIAS BIOLÓGICAS II                            ","Progress in Retinal and Eye Research","A1",2008
"1098-8823","CIÊNCIAS BIOLÓGICAS II                            ","Prostaglandins & Other Lipid Mediators","B2",2008
"0952-3278","CIÊNCIAS BIOLÓGICAS II                            ","Prostaglandins, Leukotrienes and Essential Fatty Acids","B2",2008
"0929-8665","CIÊNCIAS BIOLÓGICAS II                            ","Protein and Peptide Letters","B3",2008
"1046-5928","CIÊNCIAS BIOLÓGICAS II                            ","Protein Expression and Purification (Print)","B2",2008
"0961-8368","CIÊNCIAS BIOLÓGICAS II                            ","Protein Science (Print)","B1",2008
"0887-3585","CIÊNCIAS BIOLÓGICAS II                            ","Proteins (Print)","A2",2008
"1477-5956","CIÊNCIAS BIOLÓGICAS II                            ","Proteome Science","B1",2008
"1615-9853","CIÊNCIAS BIOLÓGICAS II                            ","Proteomics (Weinheim. Print)","A1",2008
"1434-4610","CIÊNCIAS BIOLÓGICAS II                            ","Protist (Jena. Print)","B1",2008
"0033-183X","CIÊNCIAS BIOLÓGICAS II                            ","Protoplasma","B2",2008
"0103-5371","CIÊNCIAS BIOLÓGICAS II                            ","Psico (PUCRS. Impresso)","C ",2008
"1413-7372","CIÊNCIAS BIOLÓGICAS II                            ","Psicologia em Estudo (Impresso)","C ",2008
"0102-7972","CIÊNCIAS BIOLÓGICAS II                            ","Psicologia: Reflexão e Crítica (UFRGS. Impresso)","C ",2008
"0102-3772","CIÊNCIAS BIOLÓGICAS II                            ","Psicologia: Teoria e Pesquisa (UnB. Impresso)","C ",2008
"1809-0796","CIÊNCIAS BIOLÓGICAS II                            ","Psique (São Paulo)","C ",2008
"0165-1781","CIÊNCIAS BIOLÓGICAS II                            ","Psychiatry Research (Print)","B1",2008
"0925-4927","CIÊNCIAS BIOLÓGICAS II                            ","Psychiatry Research. Neuroimaging (Print)","B1",2008
"1984-3054","CIÊNCIAS BIOLÓGICAS II                            ","Psychology & Neuroscience (Impresso)","C ",2008
"1983-3288","CIÊNCIAS BIOLÓGICAS II                            ","Psychology & Neuroscience (Online)","C ",2008
"0306-4530","CIÊNCIAS BIOLÓGICAS II                            ","Psychoneuroendocrinology","A2",2008
"0033-3158","CIÊNCIAS BIOLÓGICAS II                            ","Psychopharmacologia (Heidelberg)","A2",2008
"1068-5308","CIÊNCIAS BIOLÓGICAS II                            ","Psychopharmacology Update","C ",2008
"0048-5772","CIÊNCIAS BIOLÓGICAS II                            ","Psychophysiology (New York. Print)","A2",2008
"0951-418X","CIÊNCIAS BIOLÓGICAS II                            ","PTR. Phytotherapy Research","B2",2008
"0033-3549","CIÊNCIAS BIOLÓGICAS II                            ","Public Health Reports (1974)","B3",2008
"1415-4315","CIÊNCIAS BIOLÓGICAS II                            ","Pulmão RJ","C ",2008
"1094-5539","CIÊNCIAS BIOLÓGICAS II                            ","Pulmonary Pharmacology & Therapeutics","B1",2008
"0033-4545","CIÊNCIAS BIOLÓGICAS II                            ","Pure and Applied Chemistry (Print)","B2",2008
"1573-9538","CIÊNCIAS BIOLÓGICAS II                            ","Purinergic Signalling (Print)","C ",2008
"1611-020X","CIÊNCIAS BIOLÓGICAS II                            ","QSAR & Combinatorial Science (Print)","B2",2008
"0100-4042","CIÊNCIAS BIOLÓGICAS II                            ","Química Nova (Impresso)","B4",2008
"0104-8899","CIÊNCIAS BIOLÓGICAS II                            ","Química Nova na Escola (Impresso)","C ",2008
"0033-6572","CIÊNCIAS BIOLÓGICAS II                            ","Quintessence International","B4",2008
"0167-8140","CIÊNCIAS BIOLÓGICAS II                            ","Radiotherapy and Oncology","A2",2008
"1516-9332","CIÊNCIAS BIOLÓGICAS II                            ","RBCF. Revista Brasileira de Ciências Farmacêuticas (Cessou em 2008. Cont. ISSN 1984-8250 Brazilian Journal of Pharmaceutical Sciences)","C ",2008
"0034-7264","CIÊNCIAS BIOLÓGICAS II                            ","RBM. Revista Brasileira de Medicina (Rio de Janeiro)","C ",2008
"0951-4198","CIÊNCIAS BIOLÓGICAS II                            ","RCM. Rapid Communications in Mass Spectrometry","B1",2008
"0133-1736","CIÊNCIAS BIOLÓGICAS II                            ","Reaction Kinetics and Catalysis Letters (Print)","B4",2008
"1381-5148","CIÊNCIAS BIOLÓGICAS II                            ","Reactive & Functional Polymers (Print)","B2",2008
"1677-7271","CIÊNCIAS BIOLÓGICAS II                            ","RECENF. Revista Técnico-Científica de Enfermagem","C ",2008
"1574-8901","CIÊNCIAS BIOLÓGICAS II                            ","Recent Patent Reviews on Cardiovascular Drug Discovery","C ",2008
"1351-0002","CIÊNCIAS BIOLÓGICAS II                            ","Redox Report (Edinburgh)","B2",2008
"1746-0751","CIÊNCIAS BIOLÓGICAS II                            ","Regenerative Medicine (Print)","B3",2008
"0167-0115","CIÊNCIAS BIOLÓGICAS II                            ","Regulatory Peptides (Print)","B1",2008
"0273-2300","CIÊNCIAS BIOLÓGICAS II                            ","Regulatory Toxicology and Pharmacology","B2",2008
"0886-022X","CIÊNCIAS BIOLÓGICAS II                            ","Renal Failure","B4",2008
"1470-1626","CIÊNCIAS BIOLÓGICAS II                            ","Reproduction (Cambridge)","B1",2008
"0936-6768","CIÊNCIAS BIOLÓGICAS II                            ","Reproduction in Domestic Animals (1990)","B3",2008
"1031-3613","CIÊNCIAS BIOLÓGICAS II                            ","Reproduction, Fertility and Development","B1",2008
"1477-7827","CIÊNCIAS BIOLÓGICAS II                            ","Reproductive Biology and Endocrinology","B1",2008
"1472-6483","CIÊNCIAS BIOLÓGICAS II                            ","Reproductive BioMedicine Online (Print)","B1",2008
"1742-4755","CIÊNCIAS BIOLÓGICAS II                            ","Reproductive Health","C ",2008
"0890-6238","CIÊNCIAS BIOLÓGICAS II                            ","Reproductive Toxicology (Elmsford, N.Y.)","B2",2008
"0923-2508","CIÊNCIAS BIOLÓGICAS II                            ","Research in Microbiology (Paris)","B2",2008
"0034-5288","CIÊNCIAS BIOLÓGICAS II                            ","Research in Veterinary Science","B3",2008
"1819-3455","CIÊNCIAS BIOLÓGICAS II                            ","Research Journal of Medical Plant","C ",2008
"0954-6111","CIÊNCIAS BIOLÓGICAS II                            ","Respiratory Medicine","B2",2008
"1569-9048","CIÊNCIAS BIOLÓGICAS II                            ","Respiratory Physiology & Neurobiology","B2",2008
"0275-004X","CIÊNCIAS BIOLÓGICAS II                            ","Retina (Philadelphia, Pa.)","B1",2008
"1052-9276","CIÊNCIAS BIOLÓGICAS II                            ","Reviews in Medical Virology (Print)","A1",2008
"0334-1763","CIÊNCIAS BIOLÓGICAS II                            ","Reviews in the Neurosciences","B1",2008
"0325-7541","CIÊNCIAS BIOLÓGICAS II                            ","Revista Argentina de Microbiología","C ",2008
"0370-369X","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Analises Clinicas","C ",2008
"0100-0683","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Ciência do Solo (Impresso)","B5",2008
"0103-1716","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Ciência e Movimento","C ",2008
"0101-3289","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Ciências do Esporte","C ",2008
"0102-9010","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Ciências Morfológicas","C ",2008
"1415-8426","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Cineantropometria & Desempenho Humano (Impresso)","C ",2008
"0102-7638","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Cirurgia Cardiovascular (Impresso)","C ",2008
"1807-5509","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Educação Física e Esporte (Impresso)","C ",2008
"0100-5502","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Educação Médica (Impresso)","C ",2008
"1415-4366","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Engenharia Agrícola e Ambiental (Impresso)","C ",2008
"1807-1929","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Engenharia Agrícola e Ambiental (Online)","C ",2008
"0034-7183","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Estudos Pedagogicos","C ",2008
"0102-695X","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Farmacognosia (Impresso)","C ",2008
"1677-8510","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Fisiologia do Exercício","C ",2008
"1413-3555","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Fisioterapia (Impresso)","C ",2008
"0100-2945","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Fruticultura (Impresso)","C ",2008
"0100-7203","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Ginecologia e Obstetrícia (Impresso)","C ",2008
"1516-8484","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Hematologia e Hemoterapia (Impresso)","C ",2008
"1519-7522","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Hipertensão","C ",2008
"1414-039X","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Horticultura Ornamental (Impresso)","C ",2008
"1517-8692","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Medicina do Esporte (Impresso)","C ",2008
"0102-3616","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Ortopedia (Impresso)","C ",2008
"0034-7299","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Otorrinolaringologia (Impresso)","C ",2008
"1516-0572","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Plantas Medicinais (Impresso)","C ",2008
"1516-4446","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Psiquiatria (São Paulo. 1999. Impresso)","B3",2008
"0102-0803","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Reprodução Animal (Impresso)","C ",2008
"0482-5004","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Reumatologia (Impresso)","C ",2008
"1519-9940","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Saúde e Produção Animal","C ",2008
"1519-3829","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Saúde Materno Infantil (Impresso)","C ",2008
"0101-3122","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Sementes (Impresso)","C ",2008
"1517-5545","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Terapia Comportamental e Cognitiva (Impresso)","C ",2008
"0103-507X","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Terapia Intensiva (Impresso)","C ",2008
"1517-6770","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Zoociências","C ",2008
"0101-8175","CIÊNCIAS BIOLÓGICAS II                            ","Revista Brasileira de Zoologia (Impresso) (Cessou em 2008. Cont. ISSN 1984-4670 Zoologia (Curitiba. Impresso))","B4",2008
"0100-316X","CIÊNCIAS BIOLÓGICAS II                            ","Revista Caatinga (UFERSA. Impresso)","C ",2008
"1517-6959","CIÊNCIAS BIOLÓGICAS II                            ","Revista CFMV (Brasília)","C ",2008
"0045-6888","CIÊNCIAS BIOLÓGICAS II                            ","Revista Ciência Agronômica (UFC. Impresso)","C ",2008
"1677-5090","CIÊNCIAS BIOLÓGICAS II                            ","Revista Ciências Médicas e Biológicas","C ",2008
"0104-4230","CIÊNCIAS BIOLÓGICAS II                            ","Revista da Associação Médica Brasileira (1992. Impresso)","C ",2008
"0004-5276","CIÊNCIAS BIOLÓGICAS II                            ","Revista da Associação Paulista de Cirurgiões Dentistas (Cessou em 1980. Cont. ISSN 0101-8140 Revista Regional de Araçatuba - Associação Paulista de Cirurgiões Dentistas)","C ",2008
"0103-3948","CIÊNCIAS BIOLÓGICAS II                            ","Revista da Educação Física/UEM (Impresso)","C ",2008
"1517-3852","CIÊNCIAS BIOLÓGICAS II                            ","Revista da Rede de Enfermagem do Nordeste","C ",2008
"0104-0758","CIÊNCIAS BIOLÓGICAS II                            ","Revista da SOCERJ","C ",2008
"1679-1010","CIÊNCIAS BIOLÓGICAS II                            ","Revista da Sociedade Brasileira de Clínica Médica","C ",2008
"1516-8034","CIÊNCIAS BIOLÓGICAS II                            ","Revista da Sociedade Brasileira de Fonoaudiologia (Impresso)","C ",2008
"0037-8682","CIÊNCIAS BIOLÓGICAS II                            ","Revista da Sociedade Brasileira de Medicina Tropical (Impresso)","B4",2008
"0034-7744","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Biologia Tropical","B5",2008
"1808-4532","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Ciências Farmacêuticas Básica e Aplicada","C ",2008
"0102-8464","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Educação Física - Escola de Educação Física do Exército","C ",2008
"0102-4744","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Ensino de Física (Cessou em 1991. Cont.ISSN 1806-1117 Revista Brasileira de Ensino de Física (Impresso)","C ",2008
"0102-0811","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Matemática e Estatística (Impresso) (Cessou em 2004. Cont. ISSN 1980-4245 Revista de Matemática e Estatística (Online))","C ",2008
"0034-8554","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Medicina (USP)","C ",2008
"0104-3579","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Neurociências (EPM. Impresso)","C ",2008
"0210-0010","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Neurología (Ed. Impresa)","B4",2008
"1415-5273","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Nutrição (Impresso)","C ",2008
"1807-2577","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Odontologia da UNESP (Online)","C ",2008
"0101-6083","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Psiquiatria Clínica (USP. Impresso)","C ",2008
"0034-8910","CIÊNCIAS BIOLÓGICAS II                            ","Revista de Saúde Pública (USP. Impresso)","B4",2008
"0100-6991","CIÊNCIAS BIOLÓGICAS II                            ","Revista do Colégio Brasileiro de Cirurgiões (Impresso)","C ",2008
"0073-9855","CIÊNCIAS BIOLÓGICAS II                            ","Revista do Instituto Adolfo Lutz (Impresso)","C ",2008
"0036-4665","CIÊNCIAS BIOLÓGICAS II                            ","Revista do Instituto de Medicina Tropical de São Paulo (Impresso)","C ",2008
"1808-0804","CIÊNCIAS BIOLÓGICAS II                            ","Revista Eletrônica de Farmácia","C ",2008
"0212-6982","CIÊNCIAS BIOLÓGICAS II                            ","Revista Española de Medicina Nuclear (Ed. Impresa)","C ",2008
"0102-6933","CIÊNCIAS BIOLÓGICAS II                            ","Revista Gaúcha de Enfermagem (UFRGS. Impresso)","C ",2008
"1808-0448","CIÊNCIAS BIOLÓGICAS II                            ","Revista Gestão Industrial","C ",2008
"0101-5575","CIÊNCIAS BIOLÓGICAS II                            ","Revista HCPA (UFRGS. Impresso)","C ",2008
"0104-1169","CIÊNCIAS BIOLÓGICAS II                            ","Revista Latino-Americana de Enfermagem (USP. Ribeirão Preto. Impresso)","C ",2008
"0187-4640","CIÊNCIAS BIOLÓGICAS II                            ","Revista Latinoamericana de Microbiología (1970)","C ",2008
"1678-2577","CIÊNCIAS BIOLÓGICAS II                            ","Revista Mackenzie de Educação Física e Esporte","C ",2008
"0034-9887","CIÊNCIAS BIOLÓGICAS II                            ","Revista Médica de Chile (Impresa)","B5",2008
"0104-8031","CIÊNCIAS BIOLÓGICAS II                            ","Revista Mineira de Educacao Fisica (UFV)","C ",2008
"0102-1281","CIÊNCIAS BIOLÓGICAS II                            ","Revista Odontológica de Santo Amaro (UNISA) (Cessou em 1992. Cont. 1413-473X Revista Odontológica da Universidade de Santo Amaro)","C ",2008
"1020-4989","CIÊNCIAS BIOLÓGICAS II                            ","Revista Panamericana de Salud Pública (Impresa) / Pan American Journal of Public Health (Impresa)","B4",2008
"0101-5907","CIÊNCIAS BIOLÓGICAS II                            ","Revista Paraense de Medicina","C ",2008
"1645-0523","CIÊNCIAS BIOLÓGICAS II                            ","Revista Portuguesa de Ciências do Desporto","C ",2008
"1808-4540","CIÊNCIAS BIOLÓGICAS II                            ","Revista Sociedade Brasileira de Farmácia Hospitalar","C ",2008
"0104-7264","CIÊNCIAS BIOLÓGICAS II                            ","Revista Universidade Rural. Série Ciências da Vida (Cessou em 2007. Cont. ISSN 1983-4772 Revista de Ciências da Vida)","C ",2008
"0172-8172","CIÊNCIAS BIOLÓGICAS II                            ","Rheumatology International (Berlin. Print)","B3",2008
"0104-7914","CIÊNCIAS BIOLÓGICAS II                            ","ROBRAC (Goiânia. Impresso)","C ",2008
"1427-440X","CIÊNCIAS BIOLÓGICAS II                            ","Roczniki Pomorskiej Akademii Medycznej w Szczecinie / Annales Academiae Medicae Stetinensis","C ",2008
"1516-3180","CIÊNCIAS BIOLÓGICAS II                            ","São Paulo Medical Journal (Impresso)","C ",2008
"0036-5521","CIÊNCIAS BIOLÓGICAS II                            ","Scandinavian Journal of Gastroenterology (Trykt utg.)","B2",2008
"0300-9475","CIÊNCIAS BIOLÓGICAS II                            ","Scandinavian Journal of Immunology (Print)","B2",2008
"0036-5548","CIÊNCIAS BIOLÓGICAS II                            ","Scandinavian Journal of Infectious Diseases","B3",2008
"0905-7188","CIÊNCIAS BIOLÓGICAS II                            ","Scandinavian Journal of Medicine & Science in Sports","B2",2008
"0586-7614","CIÊNCIAS BIOLÓGICAS II                            ","Schizophrenia Bulletin","A1",2008
"0920-9964","CIÊNCIAS BIOLÓGICAS II                            ","Schizophrenia Research (Print)","A2",2008
"0765-1597","CIÊNCIAS BIOLÓGICAS II                            ","Science & Sports","B5",2008
"0036-8075","CIÊNCIAS BIOLÓGICAS II                            ","Science (New York, N.Y.)","A1",2008
"0048-9697","CIÊNCIAS BIOLÓGICAS II                            ","Science of the Total Environment","B2",2008
"0304-4238","CIÊNCIAS BIOLÓGICAS II                            ","Scientia Horticulturae","B4",2008
"0036-8709","CIÊNCIAS BIOLÓGICAS II                            ","Scientia Pharmaceutica","C ",2008
"1676-9791","CIÊNCIAS BIOLÓGICAS II                            ","Scientific American Brasil","C ",2008
"0138-9130","CIÊNCIAS BIOLÓGICAS II                            ","Scientometrics (Print)","B2",2008
"1808-8023","CIÊNCIAS BIOLÓGICAS II                            ","Segurança Alimentar e Nutricional","C ",2008
"1059-1311","CIÊNCIAS BIOLÓGICAS II                            ","Seizure (London, England)","B2",2008
"0925-4005","CIÊNCIAS BIOLÓGICAS II                            ","Sensors and Actuators. B, Chemical","B1",2008
"1383-5866","CIÊNCIAS BIOLÓGICAS II                            ","Separation and Purification Technology (Print)","B1",2008
"1073-2322","CIÊNCIAS BIOLÓGICAS II                            ","Shock (Augusta, Ga.)","A2",2008
"0161-8105","CIÊNCIAS BIOLÓGICAS II                            ","Sleep (New York, N.Y.)","A2",2008
"1389-9457","CIÊNCIAS BIOLÓGICAS II                            ","Sleep Medicine (Amsterdam. Print)","B1",2008
"1984-0063","CIÊNCIAS BIOLÓGICAS II                            ","Sleep Science (Online)","C ",2008
"0933-7954","CIÊNCIAS BIOLÓGICAS II                            ","Social Psychiatry and Psychiatric Epidemiology (Print)","B2",2008
"0038-0717","CIÊNCIAS BIOLÓGICAS II                            ","Soil Biology & Biochemistry","B1",2008
"0038-075X","CIÊNCIAS BIOLÓGICAS II                            ","Soil Science","B3",2008
"0926-2040","CIÊNCIAS BIOLÓGICAS II                            ","Solid State Nuclear Magnetic Resonance","B2",2008
"0899-0220","CIÊNCIAS BIOLÓGICAS II                            ","Somatosensory & Motor Research","B4",2008
"1808-9798","CIÊNCIAS BIOLÓGICAS II                            ","South American Journal of Herpetology (Impresso)","C ",2008
"1386-1425","CIÊNCIAS BIOLÓGICAS II                            ","Spectrochimica Acta. Part A, Molecular and Biomolecular Spectroscopy (Print)","B2",2008
"0584-8547","CIÊNCIAS BIOLÓGICAS II                            ","Spectrochimica Acta. Part B, Atomic Spectroscopy","B1",2008
"0887-6703","CIÊNCIAS BIOLÓGICAS II                            ","Spectroscopy (Springfield, Or.)","B4",2008
"1362-4393","CIÊNCIAS BIOLÓGICAS II                            ","Spinal Cord","B2",2008
"0112-1642","CIÊNCIAS BIOLÓGICAS II                            ","Sports Medicine (Auckland)","B1",2008
"0344-4325","CIÊNCIAS BIOLÓGICAS II                            ","Springer Seminars in Immunopathology (Cessou em 2006. Cont. ISSN 1863-2297 Seminars in Immunopathology (Print))","A2",2008
"0277-6715","CIÊNCIAS BIOLÓGICAS II                            ","Statistics in Medicine (Print)","B2",2008
"1066-5099","CIÊNCIAS BIOLÓGICAS II                            ","Stem Cells (Dayton, Ohio)","A1",2008
"0039-128X","CIÊNCIAS BIOLÓGICAS II                            ","Steroids (Stoneham, MA.)","B2",2008
"1025-3890","CIÊNCIAS BIOLÓGICAS II                            ","Stress (Luxembourg. Print)","B1",2008
"0039-2499","CIÊNCIAS BIOLÓGICAS II                            ","Stroke (Dallas. 1970)","A1",2008
"0969-2126","CIÊNCIAS BIOLÓGICAS II                            ","Structure (London)","A1",2008
"1082-6084","CIÊNCIAS BIOLÓGICAS II                            ","Substance Use & Misuse","B3",2008
"1468-6031","CIÊNCIAS BIOLÓGICAS II                            ","Sugar Cane International","C ",2008
"0363-0234","CIÊNCIAS BIOLÓGICAS II                            ","Suicide & Life-threatening Behavior","B3",2008
"0039-6060","CIÊNCIAS BIOLÓGICAS II                            ","Surgery","B3",2008
"0930-2794","CIÊNCIAS BIOLÓGICAS II                            ","Surgical Endoscopy (Cessou em 2001. Cont. ISSN 1866-6817 Surgical Endoscopy and Other Interventional Techniques (Print))","B2",2008
"0090-3019","CIÊNCIAS BIOLÓGICAS II                            ","Surgical Neurology","B3",2008
"0887-4476","CIÊNCIAS BIOLÓGICAS II                            ","Synapse (New York, N.Y. Print)","B1",2008
"0936-5214","CIÊNCIAS BIOLÓGICAS II                            ","Synlett (Stuttgart)","B1",2008
"0039-7911","CIÊNCIAS BIOLÓGICAS II                            ","Synthetic Communications","B4",2008
"0723-2020","CIÊNCIAS BIOLÓGICAS II                            ","Systematic and Applied Microbiology (Print)","B1",2008
"1939-6376","CIÊNCIAS BIOLÓGICAS II                            ","Systems Biology in Reproductive Medicine (Online)","C ",2008
"0039-9140","CIÊNCIAS BIOLÓGICAS II                            ","Talanta (Oxford)","A2",2008
"1984-0780","CIÊNCIAS BIOLÓGICAS II                            ","Tendências em HIV.Aids","C ",2008
"0040-4020","CIÊNCIAS BIOLÓGICAS II                            ","Tetrahedron (Oxford. Print)","B1",2008
"0040-4039","CIÊNCIAS BIOLÓGICAS II                            ","Tetrahedron Letters","B1",2008
"0957-4166","CIÊNCIAS BIOLÓGICAS II                            ","Tetrahedron: Asymmetry (Print)","B1",2008
"0730-2347","CIÊNCIAS BIOLÓGICAS II                            ","Texas Heart Institute Journal","B4",2008
"0104-0707","CIÊNCIAS BIOLÓGICAS II                            ","Texto & Contexto Enfermagem (UFSC. Impresso)","C ",2008
"0002-8703","CIÊNCIAS BIOLÓGICAS II                            ","The American Heart Journal","A2",2008
"0002-9149","CIÊNCIAS BIOLÓGICAS II                            ","The American Journal of Cardiology","A2",2008
"0002-9440","CIÊNCIAS BIOLÓGICAS II                            ","The American Journal of Pathology (Print)","A1",2008
"0002-9513","CIÊNCIAS BIOLÓGICAS II                            ","The American Journal of Physiology","A2",2008
"0002-953X","CIÊNCIAS BIOLÓGICAS II                            ","The American Journal of Psychiatry","A1",2008
"0002-9629","CIÊNCIAS BIOLÓGICAS II                            ","The American Journal of the Medical Sciences (Print)","B2",2008
"0002-9637","CIÊNCIAS BIOLÓGICAS II                            ","The American Journal of Tropical Medicine and Hygiene","B2",2008
"1055-0496","CIÊNCIAS BIOLÓGICAS II                            ","The American Journal on Addictions","B2",2008
"0003-0147","CIÊNCIAS BIOLÓGICAS II                            ","The American Naturalist","A2",2008
