"1950-196X","SOCIOLOGIA                                        ","2050 / Deux Mille Cinquante","C ",2008
"1415-8612","SOCIOLOGIA                                        ","Revista de Iniciação Científica da F.F.C.","C ",2008
"1413-2079","SOCIOLOGIA                                        ","Revista de Italianística","C ",2008
"0252-0257","SOCIOLOGIA                                        ","Revista de la CEPAL (Impresa)","B2",2008
"0185-2760","SOCIOLOGIA                                        ","Revista de la Educación Superior","B4",2008
"0326-6184","SOCIOLOGIA                                        ","Revista de la Facultad de Agronomía. Universidad Nacional de La Pampa","B3",2008
"0101-3505","SOCIOLOGIA                                        ","Revista de Letras (UNESP. Impresso)","B3",2008
"1415-5273","SOCIOLOGIA                                        ","Revista de Nutrição (Impresso)","B2",2008
"0103-1627","SOCIOLOGIA                                        ","Revista de Nutrição da PUCCAMP (Cessou em 1997. Cont. ISSN 1415-5273 Revista de Nutrição (Impresso))","B1",2008
"1413-4969","SOCIOLOGIA                                        ","Revista de Política Agrícola","B4",2008
"0104-8740","SOCIOLOGIA                                        ","Revista de Politicas Publicas (UFMA)","B3",2008
"0871-9934","SOCIOLOGIA                                        ","Revista de Psicologia e de Ciências da Educação","C ",2008
"0213-4748","SOCIOLOGIA                                        ","Revista de Psicología Social (Ed. Impr.)","B1",2008
"0034-8910","SOCIOLOGIA                                        ","Revista de Saúde Pública (USP. Impresso)","B1",2008
"1678-9873","SOCIOLOGIA                                        ","Revista de Sociologia e Política (Online)","B1",2008
"0104-4478","SOCIOLOGIA                                        ","Revista de Sociologia e Política (UFPR. Impresso)","B1",2008
"1679-5393","SOCIOLOGIA                                        ","Revista de Teologia e Ciências da Religião da UNICAP","C ",2008
"1698-580X","SOCIOLOGIA                                        ","Revista de Universidad y Sociedad del Conocimiento","C ",2008
"1667-2011","SOCIOLOGIA                                        ","Revista Debate (Buenos Aires)","C ",2008
"1982-5269","SOCIOLOGIA                                        ","Revista Debates (UFRGS)","B3",2008
"1641-4713","SOCIOLOGIA                                        ","Revista del CESLA","B3",2008
"1807-2062","SOCIOLOGIA                                        ","Revista Desenbahia","C ",2008
"1677-8898","SOCIOLOGIA                                        ","Revista Diálogos","B5",2008
"1678-765X","SOCIOLOGIA                                        ","Revista Digital de Biblioteconomia e Ciência da Informação","B4",2008
"1808-2432","SOCIOLOGIA                                        ","Revista Direito GV","C ",2008
"0104-8368","SOCIOLOGIA                                        ","Revista do Arquivo Publico Mineiro","B5",2008
"0104-5849","SOCIOLOGIA                                        ","Revista do BNDES","C ",2008
"1519-6968","SOCIOLOGIA                                        ","Revista do CEAM","C ",2008
"0101-0913","SOCIOLOGIA                                        ","Revista do Centro de Ciências Sociais e Humanas, Universidade Federal de Santa Maria (Cessou em 1983)","C ",2008
"1518-3424","SOCIOLOGIA                                        ","Revista do Curso de Direito (Brasília. 2000)","C ",2008
"1677-3713","SOCIOLOGIA                                        ","Revista do Curso de Relações Internacionais (UNIVALE)","C ",2008
"0104-8023","SOCIOLOGIA                                        ","Revista do Departamento de Psicologia da UFF (Impresso)","B2",2008
"1808-7353","SOCIOLOGIA                                        ","Revista do Grupo Mídia e Etnia","C ",2008
"1980-0428","SOCIOLOGIA                                        ","Revista do Instituto de Ciências Humanas","C ",2008
"1413-7100","SOCIOLOGIA                                        ","Revista do Instituto de Pesquisas e Estudos","C ",2008
"0100-3585","SOCIOLOGIA                                        ","Revista do Instituto do Ceará","B4",2008
"1415-7683","SOCIOLOGIA                                        ","Revista do Instituto dos Advogados de São Paulo","B4",2008
"1981-7347","SOCIOLOGIA                                        ","Revista do Instituto Histórico e Geográfico de Sergipe","C ",2008
"0101-4366","SOCIOLOGIA                                        ","Revista do Instituto Histórico e Geographico Brazileiro","B2",2008
"1679-4540","SOCIOLOGIA                                        ","Revista do ISAT","C ",2008
"1516-6597","SOCIOLOGIA                                        ","Revista do Mestrado em Educação (Cessou em 2007. Cont. ISSN 1983-6597 Revista Tempos e Espaços em Educação)","C ",2008
"0103-9709","SOCIOLOGIA                                        ","Revista do Museu de Arqueologia e Etnologia","B2",2008
"0100-6355","SOCIOLOGIA                                        ","Revista do Museu Nacional (Cessou em 1945)","B3",2008
"1676-8396","SOCIOLOGIA                                        ","Revista do NUPE (FDSM)","C ",2008
"0102-2571","SOCIOLOGIA                                        ","Revista do Patrimônio Histórico e Artístico Nacional","B2",2008
"0034-9240","SOCIOLOGIA                                        ","Revista do Serviço Público","B4",2008
"0034-9275","SOCIOLOGIA                                        ","Revista dos Tribunais (São Paulo. Impresso)","B3",2008
"0100-4956","SOCIOLOGIA                                        ","Revista Econômica do Nordeste","B4",2008
"1519-6194","SOCIOLOGIA                                        ","Revista Educação e Cidadania","C ",2008
"1981-1802","SOCIOLOGIA                                        ","Revista Educação em Questão (Online)","C ",2008
"1981-9447","SOCIOLOGIA                                        ","Revista Educação no (Con)Texto (ICES)","C ",2008
"1696-4713","SOCIOLOGIA                                        ","Revista Electrónica Iberoamericana Sobre Calidad, Eficacia y Cambio en Educación","B3",2008
"1518-1944","SOCIOLOGIA                                        ","Revista Eletrônica de Enfermagem","B4",2008
"1519-5759","SOCIOLOGIA                                        ","Revista Eletrônica de História do Brasil","B2",2008
"1981-5646","SOCIOLOGIA                                        ","Revista Eletrônica de Turismo Cultural (USP)","C ",2008
"1980-7791","SOCIOLOGIA                                        ","Revista Eletrônica Direito e Política","B5",2008
"1517-1256","SOCIOLOGIA                                        ","Revista Eletrônica do Mestrado em Educação Ambiental","B4",2008
"1983-1285","SOCIOLOGIA                                        ","Revista Eletrônica FJAV","C ",2008
"1983-4640","SOCIOLOGIA                                        ","Revista Eletrônica Jus Vigilantibus","C ",2008
"1678-1813","SOCIOLOGIA                                        ","Revista Enfoques (Rio de Janeiro)","B5",2008
"1519-6186","SOCIOLOGIA                                        ","Revista Espaço Acadêmico (UEM)","B5",2008
"1981-318X","SOCIOLOGIA                                        ","Revista Espaço da Sophia","C ",2008
"1137-8875","SOCIOLOGIA                                        ","Revista Española de Desarrollo y Cooperación","B4",2008
"0104-026X","SOCIOLOGIA                                        ","Revista Estudos Feministas (UFSC. Impresso)","A2",2008
"1808-6993","SOCIOLOGIA                                        ","Revista FAFIBE On Line (Online)","C ",2008
"1415-0549","SOCIOLOGIA                                        ","Revista FAMECOS (Impresso)","B3",2008
"1808-8007","SOCIOLOGIA                                        ","Revista FAPERN","C ",2008
"1806-7417","SOCIOLOGIA                                        ","Revista FEMA","C ",2008
"1413-4675","SOCIOLOGIA                                        ","Revista Filosofazer","B5",2008
"1984-5650","SOCIOLOGIA                                        ","Revista Filosofia do Direito e Intersubjetividade","C ",2008
"0872-0851","SOCIOLOGIA                                        ","Revista Filosófica de Coimbra","B3",2008
"0121-2559","SOCIOLOGIA                                        ","Revista Foro","B3",2008
"1518-6113","SOCIOLOGIA                                        ","Revista Fronteira (Cessou em 2008. Cont. ISSN 1984-8226 Revista Fronteiras (Online))","B4",2008
"0717-1498","SOCIOLOGIA                                        ","Revista Fuerzas Armadas y Sociedad","B1",2008
"1132-2799","SOCIOLOGIA                                        ","Revista Galega de Economía","B1",2008
"0102-6933","SOCIOLOGIA                                        ","Revista Gaúcha de Enfermagem (UFRGS. Impresso)","B4",2008
"1981-089X","SOCIOLOGIA                                        ","Revista Geografar (UFPR)","B5",2008
"1519-7824","SOCIOLOGIA                                        ","Revista Hispeci & Lema (Impresso)","C ",2008
"1676-2584","SOCIOLOGIA                                        ","Revista HISTEDBR On-line","B4",2008
"1808-091X","SOCIOLOGIA                                        ","Revista História & Luta de Classes","B5",2008
"1807-975X","SOCIOLOGIA                                        ","Revista Hospitalidade","C ",2008
"1982-257X","SOCIOLOGIA                                        ","Revista IDEAS","B5",2008
"0120-0976","SOCIOLOGIA                                        ","Revista Interamericana de Bibliotecologia","B4",2008
"1516-0033","SOCIOLOGIA                                        ","Revista Interfaces (UFRJ)","B4",2008
"1807-4960","SOCIOLOGIA                                        ","Revista Internacional de Folkcomunicação","C ",2008
"0034-9712","SOCIOLOGIA                                        ","Revista Internacional de Sociología","A2",2008
"0378-5548","SOCIOLOGIA                                        ","Revista Internacional del Trabajo (Impresa)","A2",2008
"1809-7804","SOCIOLOGIA                                        ","Revista IOB de Direito Penal e Processual Penal","C ",2008
"1808-0456","SOCIOLOGIA                                        ","Revista Janus (Lorena)","C ",2008
"0103-3506","SOCIOLOGIA                                        ","Revista Jurídica (FIC)","C ",2008
"0103-3379","SOCIOLOGIA                                        ","Revista juridica (Porto Alegre. 1953)","C ",2008
"1519-8065","SOCIOLOGIA                                        ","Revista Jurídica Consulex","C ",2008
"1982-0860","SOCIOLOGIA                                        ","Revista Jurídica da Faculdade União","C ",2008
"1516-2567","SOCIOLOGIA                                        ","Revista Kairós","B4",2008
"1414-4980","SOCIOLOGIA                                        ","Revista Katálysis (Impresso)","B1",2008
"0104-1169","SOCIOLOGIA                                        ","Revista Latino-Americana de Enfermagem (USP. Ribeirão Preto. Impresso)","B1",2008
"1807-3026","SOCIOLOGIA                                        ","Revista Latinoamericana de Ciencias de la Comunicación","B4",2008
"1405-1311","SOCIOLOGIA                                        ","Revista Latinoamericana de Estudios del Trabajo","B2",2008
"1415-4714","SOCIOLOGIA                                        ","Revista Latinoamericana de Psicopatologia Fundamental (Impresso)","B1",2008
"1983-2192","SOCIOLOGIA                                        ","Revista LEVS (Marília)","B5",2008
"1516-9154","SOCIOLOGIA                                        ","Revista LTr. Legislação do Trabalho","B5",2008
"0718-0527","SOCIOLOGIA                                        ","Revista Mad","B4",2008
"1518-6148","SOCIOLOGIA                                        ","Revista Mal-Estar e Subjetividade (Impresso)","B3",2008
"1809-3205","SOCIOLOGIA                                        ","Revista Matriz (IMMES)","C ",2008
"1414-0543","SOCIOLOGIA                                        ","Revista Mediações (UEL)","B5",2008
"1405-6666","SOCIOLOGIA                                        ","Revista Mexicana de Investigación Educativa","B2",2008
"1414-6304","SOCIOLOGIA                                        ","Revista Múltipla (UPIS)","C ",2008
"1806-6755","SOCIOLOGIA                                        ","Revista NERA (UNESP)","B3",2008
"1851-085X","SOCIOLOGIA                                        ","Revista Nova Tesis de Derecho Laboral y Relaciones del Trabajo","B5",2008
"1981-156X","SOCIOLOGIA                                        ","Revista nures","B4",2008
"1981-125X","SOCIOLOGIA                                        ","Revista Observatório Itaú Cultural","B4",2008
"1020-4989","SOCIOLOGIA                                        ","Revista Panamericana de Salud Pública (Impresa) / Pan American Journal of Public Health (Impresa)","B1",2008
"0556-6916","SOCIOLOGIA                                        ","Revista Paranaense de Desenvolvimento","B5",2008
"1415-8175","SOCIOLOGIA                                        ","Revista Pedagógica (Chapecó. Impresso)","C ",2008
"1676-3025","SOCIOLOGIA                                        ","Revista Pegada Eletrônica (Online)","B5",2008
"1809-0257","SOCIOLOGIA                                        ","Revista Pesquisa Qualitativa","C ",2008
"1413-6457","SOCIOLOGIA                                        ","Revista Philologus","C ",2008
"0716-1913","SOCIOLOGIA                                        ","Revista Philosophica","B3",2008
"1806-2776","SOCIOLOGIA                                        ","Revista PJ:Br","C ",2008
"0871-9187","SOCIOLOGIA                                        ","Revista Portuguesa de Educação","B1",2008
"0874-1336","SOCIOLOGIA                                        ","Revista Portuguesa de História do Livro","B3",2008
"1983-4527","SOCIOLOGIA                                        ","Revista Pós Ciências Sociais","B3",2008
"1519-549X","SOCIOLOGIA                                        ","Revista Psicologia Política (Impresso)","B3",2008
"1669-6581","SOCIOLOGIA                                        ","Revista Question","C ",2008
"1646-9372","SOCIOLOGIA                                        ","Revista Rhêtorikê","C ",2008
"1809-0044","SOCIOLOGIA                                        ","Revista Tecnologia e Sociedade","B5",2008
"1515-6443","SOCIOLOGIA                                        ","Revista Theomai (En línea)","B3",2008
"1519-4744","SOCIOLOGIA                                        ","Revista Turismo & Desenvolvimento","C ",2008
"1519-6178","SOCIOLOGIA                                        ","Revista Urutágua (Online)","B5",2008
"0103-9989","SOCIOLOGIA                                        ","Revista USP","B2",2008
"0214-7246","SOCIOLOGIA                                        ","Revista Vasca de Derecho Procesal y Arbitraje","C ",2008
"1315-6411","SOCIOLOGIA                                        ","Revista Venezolana de Economía y Ciencias Sociales","B2",2008
"1809-0443","SOCIOLOGIA                                        ","Revista Versões","B5",2008
"1909-5759","SOCIOLOGIA                                        ","Revista Via Iuris","C ",2008
"1518-5494","SOCIOLOGIA                                        ","Revista VIS (UnB)","B4",2008
"1980-9921","SOCIOLOGIA                                        ","Revista Z Cultural (UFRJ)","C ",2008
"0035-1776","SOCIOLOGIA                                        ","Revue de Synthese (Paris)","B2",2008
"0990-5642","SOCIOLOGIA                                        ","Revue du MAUSS (Cessou em 1992. Cont. ISSN 1247-4819 Revue du MAUSS Semestrielle)","A2",2008
"1247-4819","SOCIOLOGIA                                        ","Revue du MAUSS Semestrielle","A2",2008
"1254-4590","SOCIOLOGIA                                        ","Revue Internationale d'Éducation Sèvres","B2",2008
"0390-6701","SOCIOLOGIA                                        ","Revue Internationale de Sociologie","A2",2008
"0556-7963","SOCIOLOGIA                                        ","Revue Juridique Thémis (1970)","B3",2008
"1293-8882","SOCIOLOGIA                                        ","Revue Tiers Monde","A2",2008
"1679-592X","SOCIOLOGIA                                        ","RILA. Revista de Integração Latino-Americana","C ",2008
"1679-3498","SOCIOLOGIA                                        ","Risco (São Carlos)","C ",2008
"1413-2109","SOCIOLOGIA                                        ","Rua (UNICAMP)","B3",2008
"1983-3725","SOCIOLOGIA                                        ","RUA. Revista Universitária do Audiovisual","C ",2008
"1980-1998","SOCIOLOGIA                                        ","Ruris (Campinas)","B4",2008
"1807-1295","SOCIOLOGIA                                        ","Sacrilegens (UFJF)","B5",2008
"0104-8929","SOCIOLOGIA                                        ","Saeculum (UFPB)","B5",2008
"0036-3634","SOCIOLOGIA                                        ","Salud Pública de México (Impresa)","B1",2008
"0102-8839","SOCIOLOGIA                                        ","São Paulo em Perspectiva (Impresso)","B2",2008
"0104-1290","SOCIOLOGIA                                        ","Saúde e Sociedade (USP. Impresso)","B3",2008
"0103-1104","SOCIOLOGIA                                        ","Saúde em Debate","B3",2008
"1981-2264","SOCIOLOGIA                                        ","SBS Resenhas","B5",2008
"0104-1770","SOCIOLOGIA                                        ","Scientia (UNISINOS)","C ",2008
"1808-2793","SOCIOLOGIA                                        ","Scientia Plena","C ",2008
"1138-9788","SOCIOLOGIA                                        ","Scripta Nova (Barcelona)","B1",2008
"1533-2535","SOCIOLOGIA                                        ","Security and Defense Studies Review","B2",2008
"1808-8023","SOCIOLOGIA                                        ","Segurança Alimentar e Nutricional","B4",2008
"1415-6946","SOCIOLOGIA                                        ","Ser Social (UnB)","B4",2008
"1982-2693","SOCIOLOGIA                                        ","Série CEPPAC","C ",2008
"1982-4297","SOCIOLOGIA                                        ","Série Documenta (UFRJ. Online)","C ",2008
"1413-4233","SOCIOLOGIA                                        ","Serviço Social & Realidade","B4",2008
"0101-6628","SOCIOLOGIA                                        ","Serviço Social & Sociedade","B2",2008
"1679-4842","SOCIOLOGIA                                        ","Serviço Social em Revista (Online)","C ",2008
"1415-689X","SOCIOLOGIA                                        ","Sexta Feira (São Paulo)","B5",2008
"1363-4607","SOCIOLOGIA                                        ","Sexualities (London)","A2",2008
"0097-9740","SOCIOLOGIA                                        ","Signs (Chicago, Ill.)","A2",2008
"1616-2552","SOCIOLOGIA                                        ","Simmel Studies","B1",2008
"0101-7276","SOCIOLOGIA                                        ","Sinopse Econômica","C ",2008
"0210-0223","SOCIOLOGIA                                        ","Sistema (Madrid)","B1",2008
"0103-0620","SOCIOLOGIA                                        ","Sociais e Humanas","B5",2008
"0037-7686","SOCIOLOGIA                                        ","Social Compass (Imprimé)","A2",2008
"0037-7732","SOCIOLOGIA                                        ","Social Forces","A1",2008
"1350-4630","SOCIOLOGIA                                        ","Social Identities (Abingdon. Print)","A2",2008
"0303-8300","SOCIOLOGIA                                        ","Social Indicators Research","A1",2008
"0326-9795","SOCIOLOGIA                                        ","Sociedad y Religión","B2",2008
"0103-1570","SOCIOLOGIA                                        ","Sociedade & Natureza (UFU. Impresso)","B5",2008
"1982-4513","SOCIOLOGIA                                        ","Sociedade & Natureza (UFU. Online)","C ",2008
"1415-8566","SOCIOLOGIA                                        ","Sociedade e Cultura (Impresso)","B2",2008
"1980-8194","SOCIOLOGIA                                        ","Sociedade e Cultura (Online)","B2",2008
"1981-1551","SOCIOLOGIA                                        ","Sociedade e Desenvolvimento Rural","B4",2008
"0102-6992","SOCIOLOGIA                                        ","Sociedade e Estado (UnB. Impresso)","A2",2008
"1415-5893","SOCIOLOGIA                                        ","Sociedade e Território (Natal)","B5",2008
"1414-9869","SOCIOLOGIA                                        ","Sociedade em Debate (UCPel)","B5",2008
"0765-3697","SOCIOLOGIA                                        ","Sociétés (Paris)","A2",2008
"1953-8375","SOCIOLOGIA                                        ","Sociétés et Jeunesses en Difficulté","B2",2008
"1871-8868","SOCIOLOGIA                                        ","Societies Without Borders","B1",2008
"0873-6529","SOCIOLOGIA                                        ","Sociologia (Lisboa)","B1",2008
"0210-8364","SOCIOLOGIA                                        ","Sociología del Trabajo","A2",2008
"0038-0199","SOCIOLOGIA                                        ","Sociologia Ruralis (Print)","A1",2008
"1517-4522","SOCIOLOGIA                                        ","Sociologias (UFRGS. Impresso)","A1",2008
"0187-0173","SOCIOLOGIA                                        ","Sociológica (México)","B1",2008
"0735-2751","SOCIOLOGIA                                        ","Sociological Theory","A1",2008
"0038-0296","SOCIOLOGIA                                        ","Sociologie du Travail","A1",2008
"1980-7856","SOCIOLOGIA                                        ","Sociopoética (Online)","C ",2008
"1808-8333","SOCIOLOGIA                                        ","Socitec E-prints","C ",2008
"0340-918X","SOCIOLOGIA                                        ","Soziologie (Opladen)","B2",2008
"1654-0204","SOCIOLOGIA                                        ","Stockholm Review of Latin American Studies","A2",2008
"1806-6445","SOCIOLOGIA                                        ","Sur. Revista Internacional de Direitos Humanos (Impresso)","B1",2008
"1477-7487","SOCIOLOGIA                                        ","Surveillance & Society (Online)","A2",2008
"1676-4218","SOCIOLOGIA                                        ","Sustentação (COSEMS/CE)","C ",2008
"0039-7695","SOCIOLOGIA                                        ","Symposium (Recife)","B3",2008
"1676-9805","SOCIOLOGIA                                        ","Synthesis (Lages)","B4",2008
"0494-7061","SOCIOLOGIA                                        ","Tareas (Panamá)","B5",2008
"1666-0714","SOCIOLOGIA                                        ","Td. Temas y debates (Rosario)","B3",2008
"1678-3697","SOCIOLOGIA                                        ","TD. Teoria e Debate","B4",2008
"0104-3285","SOCIOLOGIA                                        ","TECBAHIA","B4",2008
"1519-9452","SOCIOLOGIA                                        ","Tellus (UCDB)","B3",2008
"1519-7972","SOCIOLOGIA                                        ","Temas & Matizes (Impresso)","C ",2008
"0864-134X","SOCIOLOGIA                                        ","Temas (Ciudad de La Habana)","B3",2008
"1413-389X","SOCIOLOGIA                                        ","Temas em Psicologia (Ribeirão Preto)","B4",2008
"1519-0870","SOCIOLOGIA                                        ","Temas em Saúde (João Pessoa)","B4",2008
"1413-2486","SOCIOLOGIA                                        ","Temáticas (UNICAMP)","B5",2008
"0102-8782","SOCIOLOGIA                                        ","Tempo Brasileiro","B2",2008
"0103-569X","SOCIOLOGIA                                        ","Tempo e Presença (Impresso)","B4",2008
"1981-1810","SOCIOLOGIA                                        ","Tempo e Presença Digital (Online)","C ",2008
"0103-2070","SOCIOLOGIA                                        ","Tempo Social (USP. Impresso)","A1",2008
"1413-7704","SOCIOLOGIA                                        ","Tempo. Revista do Departamento de História da UFF","B1",2008
"1518-6229","SOCIOLOGIA                                        ","Temporis(ação) (UEG)","C ",2008
"1677-9460","SOCIOLOGIA                                        ","Tendências (Crato)","B5",2008
"1809-3124","SOCIOLOGIA                                        ","Tensões Mundiais (Impresso)","B3",2008
"0104-0103","SOCIOLOGIA                                        ","Teoria & Pesquisa","B2",2008
"1676-3246","SOCIOLOGIA                                        ","Teoria & Prática (Limeira)","C ",2008
"1518-4471","SOCIOLOGIA                                        ","Teoria & Sociedade (UFMG)","B4",2008
"1809-5968","SOCIOLOGIA                                        ","Teoria e Cultura (UFJF)","B5",2008
"0104-8112","SOCIOLOGIA                                        ","Terra e Cultura","B5",2008
"0102-8030","SOCIOLOGIA                                        ","Terra Livre","B5",2008
"0104-0707","SOCIOLOGIA                                        ","Texto & Contexto Enfermagem (UFSC. Impresso)","B3",2008
"1677-9509","SOCIOLOGIA                                        ","Textos & Contextos (Porto Alegre)","B5",2008
"0104-1487","SOCIOLOGIA                                        ","Textos de Historia (UnB)","B3",2008
"1980-3281","SOCIOLOGIA                                        ","Textos Escolhidos de Cultura e Arte Populares (Impresso)","B4",2008
"1981-9935","SOCIOLOGIA                                        ","Textos Escolhidos de Cultura e Arte Populares (Online)","B5",2008
"1413-9243","SOCIOLOGIA                                        ","Textos NEPO (UNICAMP)","C ",2008
"1677-9126","SOCIOLOGIA                                        ","Textual (Porto Alegre)","B5",2008
"0002-7162","SOCIOLOGIA                                        ","The Annals of the American Academy of Political and Social Science","A1",2008
"0256-6419","SOCIOLOGIA                                        ","The FIEP Bulletin","C ",2008
"0360-5310","SOCIOLOGIA                                        ","The Journal of Medicine and Philosophy","B1",2008
"1874-4311","SOCIOLOGIA                                        ","The Open Medical Informatics Journal","C ",2008
"0730-479X","SOCIOLOGIA                                        ","The Tocqueville Review","A2",2008
"1517-6312","SOCIOLOGIA                                        ","Thema (Pelotas)","C ",2008
"0263-2764","SOCIOLOGIA                                        ","Theory, Culture & Society","A1",2008
"0725-5136","SOCIOLOGIA                                        ","Thesis Eleven (Print)","A2",2008
"0143-6597","SOCIOLOGIA                                        ","Third World Quarterly (Print)","A2",2008
"1413-893X","SOCIOLOGIA                                        ","Thot (São Paulo)","B5",2008
"1668-3935","SOCIOLOGIA                                        ","Tiempo (Buenos Aires. 2004)","B5",2008
"1545-4703","SOCIOLOGIA                                        ","Tipití","B2",2008
"1517-4549","SOCIOLOGIA                                        ","Tomo (UFS)","B3",2008
"0101-8701","SOCIOLOGIA                                        ","Tópicos Educacionais","B4",2008
"1518-3319","SOCIOLOGIA                                        ","Topoi (Rio de Janeiro)","B1",2008
"1516-9537","SOCIOLOGIA                                        ","Trabalho & Educação (UFMG)","B5",2008
"1678-1007","SOCIOLOGIA                                        ","Trabalho, Educação e Saúde (Impresso)","B3",2008
"1676-3033","SOCIOLOGIA                                        ","Trajetos (UFC)","B3",2008
"0101-3173","SOCIOLOGIA                                        ","Trans/Form/Ação (UNESP. Marília. Impresso)","B2",2008
"1809-0885","SOCIOLOGIA                                        ","Transdições (Rio de Janeiro)","B5",2008
"0103-3786","SOCIOLOGIA                                        ","Transinformação","B4",2008
"1517-0152","SOCIOLOGIA                                        ","Transit Circle (Porto Alegre)","C ",2008
"1678-5827","SOCIOLOGIA                                        ","Trapézio (UNICAMP)","B5",2008
"0103-5576","SOCIOLOGIA                                        ","Travessia (Sao Paulo)","B4",2008
"1982-5935","SOCIOLOGIA                                        ","Travessias (UNIOESTE. Online)","C ",2008
"0103-5533","SOCIOLOGIA                                        ","Trilhas (UNICAMP)","B4",2008
"1807-9016","SOCIOLOGIA                                        ","Trinolex (Franca. Online)","B5",2008
"1420-7834","SOCIOLOGIA                                        ","Tsantsa (Bern)","B1",2008
"1243-549X","SOCIOLOGIA                                        ","Tumultes (Paris)","B1",2008
"1415-6393","SOCIOLOGIA                                        ","Turismo. Visão e Ação (Itajaí) (Cessou em 2007)","C ",2008
"1519-4256","SOCIOLOGIA                                        ","UnB Revista","B5",2008
"1809-4651","SOCIOLOGIA                                        ","UNIrevista (UNISINOS)","B5",2008
"0104-3528","SOCIOLOGIA                                        ","Universidade e Sociedade (UEM)","B5",2008
"1518-3580","SOCIOLOGIA                                        ","UNOPAR Científica. Ciências Humanas e Educação","B5",2008
"1517-9427","SOCIOLOGIA                                        ","UNOPAR Científica. Ciências Jurídicas e Empresariais","B5",2008
"1679-0103","SOCIOLOGIA                                        ","Urbanidades","C ",2008
"0762-2368","SOCIOLOGIA                                        ","Utopia (Cessou em 198u)","C ",2008
"1316-5216","SOCIOLOGIA                                        ","Utopía y Praxis Latinoamericana","B4",2008
"0104-8775","SOCIOLOGIA                                        ","Varia História (UFMG. Impresso)","B2",2008
"0104-0839","SOCIOLOGIA                                        ","VeraCidade (Salvador. Impresso)","B5",2008
"1981-545X","SOCIOLOGIA                                        ","VeraCidade (Salvador. Online)","B5",2008
"1678-183X","SOCIOLOGIA                                        ","Verba Juris (UFPB)","C ",2008
"1806-3845","SOCIOLOGIA                                        ","Veredas do Direito (Belo Horizonte)","B5",2008
"1981-061X","SOCIOLOGIA                                        ","Verinotio (Belo Horizonte)","B5",2008
"0042-3955","SOCIOLOGIA                                        ","Veritas (Porto Alegre)","B2",2008
"1806-6925","SOCIOLOGIA                                        ","Verso e Reverso (Unisinos. Online)","B5",2008
"0104-8473","SOCIOLOGIA                                        ","Vertentes (UFSJ)","B5",2008
"1676-9090","SOCIOLOGIA                                        ","Verve (PUCSP)","B4",2008
"1809-4341","SOCIOLOGIA                                        ","Vibrant (Florianópolis)","B2",2008
"1806-0145","SOCIOLOGIA                                        ","Vida e Educação (Fortaleza)","B4",2008
"0104-270X","SOCIOLOGIA                                        ","Vidya (Santa Maria)","B5",2008
"1808-9011","SOCIOLOGIA                                        ","Virtú (UFJF)","B5",2008
"1807-4014","SOCIOLOGIA                                        ","Visões (Rio de Janeiro. Impresso)","B4",2008
"0894-9468","SOCIOLOGIA                                        ","Visual Anthropology (Journal)","B1",2008
"1679-6748","SOCIOLOGIA                                        ","Visualidades (UFG)","B5",2008
"0104-3064","SOCIOLOGIA                                        ","Vivencia (UFRN)","B4",2008
"1519-5864","SOCIOLOGIA                                        ","Vozes e Diálogo (UNIVALI)","B5",2008
"1745-641X","SOCIOLOGIA                                        ","Work Organisation, Labour & Globalisation (Print)","A2",2008
"1935-6226","SOCIOLOGIA                                        ","World Political Science Review","A2",2008
"0940-0648","SOCIOLOGIA                                        ","Z. Zeitschrift marxistische Erneuerung","B4",2008
"1438-8324","SOCIOLOGIA                                        ","Zeitschrift für Qualitative Bildungs-, Beratungs- und Sozialforschung","B5",2008
"0340-1804","SOCIOLOGIA                                        ","Zeitschrift fur Soziologie","B1",2008
